Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"OZ","New South Wales","F","17","L","156","23","147","2","Bus","50","0.39","26","Swimming","456","433","344","373","1000","1000",
"CA","Ontario","M","14","R","175","28","180","1","Bus","12","0.422","39","Martial Arts","1000","925","455","540","139","658",
"USA","MT","F","17","R","165","22","165","2","Car","4","0.389","29","Swimming","800","700","1000","900","500","300",
"CA","Ontario","M","14","R","107","22","146","1","Car","15","0.401","46","Bowling","219","449","214","695","1000","1000",
"UK","South","F","12","R","147","19","136","3","Walk","10","0.35","34","Netball","886","714","658","500","181","342",
"USA","CA","F","17","R","164","24","154","2","Bus","40","0.51","47","Swimming","689","700","345","200","770","200",
"OZ","Victoria","F","13","R","175","25","165","1","Walk","10","0.37","43","Basketball","545","699","864","415","976","1000",
"NZ","Manawatu-Wanganui","M","12","R","150","21","152","1","Walk","15","0","0","Rugby Union","500","","750","","","",
"USA","CA","F","16","R","157","24","170","3","Car","10","0.46","0","Walking/Hiking","0","0","0","0","","",
"USA","PA","F","17","R","157","20","155","1","Car","10","0.334","55","Dancing","300","300","300","300","1000","1000",
"OZ","New South Wales","M","11","R","154","19","151","1","Bus","10","0","73","Football/Soccer","823","817","764","829","616","628",
"OZ","New South Wales","M","14","R","178","27","153","1","Bus","15","0.35","91","None","1000","1000","1000","1000","143","208",
"USA","PA","M","16","R","192","28","195","1","Car","8","0.285","46","Baseball/Softball","800","800","600","900","500","600",
"NZ","Auckland","M","14","R","164","22","162","1","Cycle","5","0.312","0","Football/Soccer","1000","","1000","","","",
"CA","Ontario","M","14","R","164","26","151","1","Bus","20","1.14","48","Hockey (Ice)","775","519","658","914","1000","1000",
"CA","Ontario","M","12","R","137","22","132","1","Car","5","0.358","35","Golf","856","711","684","733","449","674",
"USA","WI","F","13","R","152","23","119","1","Walk","5","0.433","67","Cycling","658","561","369","749","460","230",
"USA","SC","F","17","R","175","12","172","1","Car","2","0.422","34","Martial Arts","711","540","759","765","900","1000",
"NZ","Waikato","F","10","R","169","10","162","2","Walk","5","0","0","Hockey (Field)","1000","","750","","","",
"UK","West Midlands","F","13","L","159","20","159","1","Walk","5","0.38","24","Dancing","614","582","500","500","908","877",
"CA","Alberta","M","10","L","139","21","142","1","Walk","3","0.44","38","Football/Soccer","358","1000","176","701","1000","1000",
"UK","North West","M","13","R","159","25","159","1","Walk","6","0.39","52","Football/Soccer","998","874","803","895","0","0",
"USA","WA","F","16","R","158","21","158","1","Car","10","0.321","41","Baseball/Softball","800","900","900","","100","100",
"OZ","South OZ","M","13","R","150","25","150","1","Bus","55","0.37","36","Gymnastics","409","563","273","190","421","88",
"UK","South West","F","15","R","170","28","150","1","Bus","20","0.75","48","None","806","871","774","645","0","0",
"NZ","Auckland","M","11","R","148","23","148","2","Car","5","0.35","0","Football/Soccer","1000","","1000","","","",
"OZ","South OZ","F","14","R","154","23","146","1","Car","2","0.39","41","Swimming","669","503","704","704","273","480",
"USA","MD","M","15","R","180","16","183","2","Car","15","0.324","49","Basketball","500","500","500","700","1000","1000",
"USA","CA","M","17","R","178","27","178","2","Car","10","0.452","60","Tennis","214","305","503","556","620","797",
"UK","North West","F","13","R","166","24","166","2","Car","15","0.39","33","Athletics","589","592","672","542","744","774",
"CA","Ontario","F","13","R","160","24","159","1","Walk","19","0.36","31","Tennis","840","540","203","5","1000","1000",
"CA","Ontario","F","14","R","158","26","158","2","Walk","15","0.312","46","Rowing","1000","1000","797","1000","32","32",
"OZ","Victoria","F","9","L","135","19","128","2","Car","10","0.4","45","Netball","551","585","651","533","563","705",
"UK","Home Counties","F","12","R","157","24","157","1","Bus","20","0.36","36","Tennis","723","817","758","691","720","812",
"OZ","Western OZ","F","12","R","164","22","161","1","Car","10","0.42","39","Dancing","468","326","113","113","208","214",
"UK","South West","M","14","R","166","25","164","3","Walk","15","0.39","28","Other activities/sports","1000","1000","1000","1000","500","500",
"NZ","Canterbury","M","14","R","170","25","170","1","Cycle","15","0.547","0","Cycling","500","","500","","","",
"USA","OK","M","17","R","175","24","176","2","Car","5","0.411","59","Football/Soccer","600","600","900","600","700","700",
"OZ","Queensland","M","9","R","152","22","151","1","Car","12","0.8","54","Cricket","1000","1000","1000","1000","1000","521",
"USA","CA","F","16","R","157","26","157","3","Car","15","1.057","79","Gymnastics","700","900","1000","800","10","100",
"OZ","New South Wales","M","12","R","149","27","139","1","Walk","2","0.45","43","Football/Soccer","527","610","320","96","155","699",
"OZ","Victoria","F","12","R","140","23","140","1","Walk","15","0.45","55","Netball","486","1000","503","480","687","433",
"OZ","Tasmania","M","16","R","181","17","194","1","Bus","20","0.32","39","Table Tennis","645","285","1000","202","255","793",
"CA","Manitoba","M","12","B","170","30","155","1","Bus","15","0.39","51","Football/Soccer","16","16","16","16","1000","1000",
"CA","Ontario","F","10","R","140","22","139","9","Walk","3","0.406","36","Hockey (Ice)","439","455","513","508","16","59",
"OZ","New South Wales","F","15","R","168","26","176","2","Car","7","0.47","54","Dancing","1000","1000","1000","1000","1000","1000",
"CA","Alberta","F","15","R","159","20","158","2","Bus","65","0.351","28","Dancing","920","914","487","786","914","909",
"OZ","Northern Territories","F","11","R","105","21","122","1","Car","7","0.64","78","Swimming","220","1","1","1","675","657",
"CA","Nova Scotia","M","16","R","178","24","187","1","Bus","15","0.344","42","Running/Jogging","1000","626","626","818","513","513",
"USA","CA","F","12","R","156","23","104","1","Car","12","0.357","28","Swimming","510","550","520","490","890","",
"CA","Ontario","M","14","R","171","28","160","2","Walk","20","0.37","28","Football/Soccer","807","658","1000","262","1000","1000",
"OZ","Victoria","F","13","R","172","24","170","3","Walk","10","0.42","40","Netball","610","616","622","616","769","781",
"CA","Nova Scotia","M","14","R","174","27","183","1","Bus","20","0.438","40","Walking/Hiking","1000","1000","1000","1000","1000","1000",
"OZ","Victoria","M","9","R","145","20","142","1","Car","4","0.35","70","Football/Soccer","1000","734","1000","1000","1","",
"OZ","Western OZ","M","13","R","162","26","163","1","Car","25","0.31","56","Other activities/sports","586","438","492","415","580","634",
"NZ","Manawatu-Wanganui","F","10","R","147","22","142","1","Car","25","1.156","0","Swimming","1000","","0","","","",
"USA","TX","F","17","R","178","12","189","1","Car","2","0.462","60","Dancing","100","750","750","1000","250","750",
"OZ","New South Wales","F","14","R","160","30","162","5","Bus","35","0.34","54","Dancing","1000","592","545","728","592","793",
"USA","CA","M","12","R","147","25","158","3","Car","5","0.612","81","Football/Soccer","460","160","1000","701","417","1000",
"OZ","New South Wales","M","13","R","168","25","169","1","Bus","30","0.29","33","Cricket","1000","302","1000","503","509","486",
"OZ","Tasmania","F","11","R","151","22","152","1","Bus","5","0.43","58","Basketball","486","480","486","492","255","403",
"UK","North West","F","14","R","151","21","152","1","Walk","15","0.37","36","Netball","445","485","371","418","783","787",
"USA","WI","F","13","R","164","25","165","1","Bus","15","0.835","45","Football/Soccer","1000","1000","999","1000","12","17",
"USA","CA","F","14","R","157","23","157","2","Walk","15","0.459","56","None","0","50","50","1000","1000","1000",
"UK","East","F","13","R","165","23","112","2","Bus","45","0.22","37","Other activities/sports","51","43","0","0","493","530",
"CA","Ontario","M","13","R","180","28","181","2","Bus","20","0.453","50","Basketball","535","487","353","749","487","230",
"NZ","Auckland","F","14","R","158","23","148","2","Bus","15","0.64","0","None","500","","500","","","",
"CA","Ontario","M","7","R","146","24","137","1","Cycle","9","0.586","77","Hockey (Ice)","1000","1000","1000","1000","37","37",
"OZ","New South Wales","F","11","R","142","22","145","1","Car","20","0.45","41","Dancing","503","1000","1000","769","1000","1000",
"USA","GU","M","14","B","169","25","161","1","SkateBoarding/Rollerblading","25","0","0","Skateboarding/Rollerblading","0","0","0","0","0","0",
"NZ","Auckland","M","14","R","168","24","163","4","Car","5","0.422","0","Football/Soccer","500","","750","","","",
"USA","AZ","M","17","L","181","26","180","1","Car","35","0.465","53","Other","700","420","800","700","800","600",
"OZ","Queensland","F","17","R","153","22","150","4","Car","5","0.35","23","Dancing","1000","1000","1000","1000","1000","1000",
"OZ","Victoria","F","16","R","164","19","90","3","Bus","40","0.43","42","Running/Jogging","586","456","699","586","734","645",
"CA","Ontario","F","17","B","155","22","156","1","Bus","7","0.589","57","Swimming","444","460","545","594","802","898",
"CA","Ontario","M","12","R","160","24","151","2","Car","2","0.297","42","Martial Arts","610","615","615","615","1000","1000",
"OZ","Victoria","F","12","R","153","22","135","2","Car","6","0.4","29","Other activities/sports","1000","462","1000","775","326","326",
"USA","IL","F","17","R","173","25","165","1","Car","5","0.568","40","Dancing","0","481","257","604","920","930",
"UK","East","F","11","L","157","22","158","1","Walk","10","1.03","69","Swimming","760","1000","720","696","0","146",
"OZ","Victoria","M","16","R","173","27","173","1","Bus","20","0.29","39","None","119","190","172","161","131","155",
"UK","North East","M","11","R","161","24","158","1","Bus","10","0","42","Football/Soccer","573","0","658","336","946","1000",
"OZ","New South Wales","F","16","R","157","21","155","1","Bus","50","0.37","25","Dancing","456","509","533","629","815","1000",
"OZ","Tasmania","M","13","R","159","25","158","2","Bus","60","0.29","37","Cricket","214","220","226","226","427","385",
"CA","Ontario","M","13","R","150","25","140","3","Walk","12","0.329","43","Other activities/sports","503","519","556","775","337","16",
"UK","Home Counties","F","13","R","164","27","169","3","Walk","10","0.37","63","Gymnastics","337","500","500","500","500","937",
"NZ","Canterbury","M","14","R","172","26","174","1","Cycle","15","0.516","0","Football/Soccer","250","","250","","","",
"CA","Ontario","M","12","B","118","27","82","2","Car","15","0.27","61","Cycling","1000","396","1000","1000","1000","102",
"CA","Ontario","M","15","R","164","26","160","3","Bus","15","0.619","39","Football/Soccer","433","652","1000","529","155","155",
"CA","Ontario","M","12","R","145","22","140","1","Bus","30","0.234","36","Table Tennis","294","476","834","717","283","171",
"OZ","New South Wales","F","10","R","130","22","130","1","Walk","10","0.48","60","Swimming","1000","1000","1000","1000","279","734",
"OZ","New South Wales","M","16","R","152","22","152","2","Cycle","2","0.34","52","Other activities/sports","113","36","149","894","1000","1000",
"CA","Nova Scotia","F","12","R","151","25","150","1","Bus","15","0.453","39","Swimming","444","556","668","572","674","807",
"NZ","Auckland","M","13","R","172","26","193","2","Walk","15","0.516","0","Other activities/sports","500","","500","","","",
"UK","South","F","13","R","170","26","156","1","Car","5","0.43","30","Athletics","1000","1000","1000","1000","255","248",
"OZ","Western OZ","F","10","R","143","22","135","1","Bus","30","0.37","43","Basketball","1000","1000","1000","1000","1","119",
"USA","GA","F","11","R","152","17","163","2","Bus","45","0.39","55","Running/Jogging","1000","497","1000","1000","845","1000",
"USA","NY","M","11","R","146","22","133","2","Walk","10","0.359","46","Running/Jogging","503","503","503","503","53","53",
"OZ","Western OZ","F","12","L","155","24","158","1","Car","20","0.51","36","Other activities/sports","444","243","232","438","344","155",
"NZ","Auckland","F","11","R","154","22","148","1","Car","15","1.15","0","Netball","250","","250","","","",
"UK","Martinica","M","17","R","180","23","174","2","Walk","25","0.37","38","Football/Soccer","1000","1000","1000","685","620","441",
"NZ","Wellington","M","14","R","180","27","165","2","Bus","25","0.28","0","Cricket","1000","","500","","","",
"USA","IL","F","12","R","152","22","148","2","Walk","5","0.406","55","Gymnastics","995","920","920","1000","0","0",
"OZ","Victoria","F","12","R","151","24","148","1","Walk","10","0.42","34","Dancing","988","468","1000","894","78","78",
"OZ","Victoria","M","11","L","156","26","156","1","Walk","15","0.43","41","Hockey (Field)","1000","1000","1000","1000","1000","1000",
"OZ","Queensland","M","14","R","182","37","192","1","Walk","30","0.34","35","Football/Soccer","1000","1000","1000","1000","27","131",
"OZ","OZn Capitol Territory","F","10","R","146","20","145","1","Car","6","0.39","35","Dancing","1000","1000","1000","1000","42","25",
"USA","NY","M","12","R","153","27","145","2","Walk","2","0.316","42","Baseball/Softball","1000","1000","900","500","1000","1000",
"OZ","Victoria","M","10","L","132","21","132","1","Cycle","5","0.36","49","Cricket","775","1000","1000","693","320","255",
"CA","Ontario","F","14","R","160","23","157","1","Walk","5","0.912","39","Tennis","497","497","519","706","807","1000",
"CA","Quebec","F","15","R","163","23","160","2","Rail","20","0.249","19","Other activities/sports","1000","770","813","722","840","845",
"OZ","New South Wales","F","12","R","165","24","155","1","Walk","6","0.5","56","Netball","563","628","492","734","403","385",
"NZ","Auckland","F","12","R","158","24","162","3","Walk","15","0.406","0","Football/Soccer","1000","","1000","","","",
"OZ","Victoria","M","12","R","153","25","153","2","Car","9","0","54","Cricket","1000","829","900","823","1000","1000",
"USA","MO","M","17","R","173","22","180","1","Car","7","0.388","54","Football (American)","100","200","200","700","100","1000",
"UK","East","F","13","R","182","28","170","2","Walk","10","0.49","26","Football/Soccer","765","725","671","698","649","744",
"OZ","Victoria","F","12","R","156","26","155","1","Walk","3","0.52","49","Netball","604","586","746","574","367","740",
"USA","OH","M","9","B","140","20","138","1","Car","45","0.437","37","Baseball/Softball","836","967","1000","","481","299",
"UK","Home Counties","M","15","R","183","27","184","1","Walk","20","0.57","34","Netball","500","500","500","500","393","400",
"NZ","Wellington","F","14","R","162","24","166","1","Walk","5","0.328","0","Other activities/sports","500","","500","","","",
"CA","Ontario","F","12","R","166","26","166","1","Car","5","0.65","24","Football/Soccer","604","417","513","102","91","283",
"OZ","Victoria","F","11","R","149","22","143","2","Bus","20","0.46","62","Netball","155","208","196","117","604","976",
"UK","South","F","16","R","161","23","158","1","Bus","20","0.56","37","Netball","677","935","742","774","581","484",
"CA","Quebec","M","18","R","185","25","185","2","Bus","15","0.25","30","Tennis","620","203","497","91","1000","1000",
"USA","CA","M","17","R","165","27","164","2","Car","17","0.494","48","Basketball","600","400","500","600","800","1000",
"CA","Ontario","M","16","B","180","31","150","1","Walk","15","0.93","56","Hockey (Ice)","428","824","75","668","1000","1000",
"OZ","Tasmania","F","9","R","154","22","161","1","Walk","3","0.77","45","Dancing","834","734","433","563","433","480",
"NZ","Auckland","F","12","R","169","23","168","2","Walk","15","0","0","Netball","750","","500","","","",
"CA","British Columbia","F","12","R","171","23","163","2","Car","5","0.375","56","Football/Soccer","1000","1000","1000","1000","1000","1000",
"OZ","New South Wales","F","12","B","160","18","150","1","Walk","10","0.4","33","Running/Jogging","474","273","923","415","1000","1000",
"UK","West Midlands","F","13","L","147","21","130","1","Bus","30","0.53","35","Football/Soccer","0","1000","1000","516","1000","1000",
"CA","Manitoba","M","15","R","177","23","170","1","Bus","30","0.359","35","Skateboarding/Rollerblading","481","471","481","487","1000","1000",
"OZ","Queensland","M","11","R","160","25","150","1","Walk","5","0.75","44","Other activities/sports","1000","503","1000","1000","1000","1000",
"UK","North West","F","12","B","168","22","168","3","Walk","15","0.54","47","Swimming","0","1000","226","226","0","0",
"USA","PA","F","17","R","160","23","175","3","Car","5","0.41","33","Hockey (Ice)","800","800","700","700","100","200",
"USA","TX","F","17","R","162","25","134","1","Car","20","0.379","48","Tennis","540","400","450","245","555","520",
"UK","London","F","12","R","151","24","153","2","Bus","15","0.78","68","Dancing","986","331","1000","308","1000","484",
"OZ","Western OZ","F","10","R","158","23","160","1","Car","30","0.36","56","Netball","527","509","521","515","1000","1000",
"OZ","New South Wales","M","12","R","155","25","153","2","Bus","47","0.35","43","None","1000","817","598","1000","","",
"UK","East","M","11","L","148","21","145","2","Car","8","0.48","62","Swimming","0","806","452","677","839","774",
"OZ","Tasmania","F","12","R","167","25","171","1","Car","3","0.35","36","None","415","385","693","503","113","793",
"OZ","South OZ","M","11","R","169","28","172","1","Bus","57","0.36","58","Walking/Hiking","586","811","107","438","1000","1000",
"UK","West Midlands","F","11","R","148","19","142","2","Car","30","0.69","65","Dancing","725","908","738","957","1000","1000",
"OZ","Victoria","M","13","R","159","30","168","1","Car","10","0.39","48","Basketball","1000","1000","722","498","1000","1000",
"OZ","New South Wales","M","15","R","163","22","163","2","Bus","70","0.45","44","Baseball/Softball","539","433","1000","178","663","870",
"OZ","Queensland","F","12","R","153","23","152","1","Car","5","0.45","44","Other activities/sports","651","639","823","716","1000","1000",
"CA","Ontario","F","14","R","180","30","168","1","Bus","60","1.312","31","Football/Soccer","888","647","759","428","1000","1000",
"CA","British Columbia","M","15","R","175","25","138","3","Car","20","0.599","28","Rugby Union","460","465","738","738","738","743",
"OZ","New South Wales","M","14","R","152","22","151","1","Bus","35","0.31","41","Hockey (Ice)","527","539","634","551","669","752",
"OZ","Tasmania","M","17","R","171","25","175","1","Bus","11","0.26","34","Basketball","876","900","1000","592","1000","1000",
"NZ","Canterbury","M","13","R","125","26","85","2","Walk","5","0.297","0","Athletics","750","","750","","","",
"CA","Ontario","M","14","R","182","26","182","2","Car","6","0.527","23","Basketball","262","257","561","636","914","1000",
"USA","VT","F","16","R","160","20","152","1","Car","15","1.005","48","Basketball","700","100","800","500","200","1000",
"USA","VI","F","17","R","158","24","151","1","Boat","30","0.809","48","Baseball/Softball","900","900","900","900","900","900",
"CA","Manitoba","M","12","R","155","25","160","1","Car","16","0.527","86","Table Tennis","508","390","561","337","155","21",
"UK","East Midlands","M","13","R","179","28","183","1","Walk","7","0.37","51","Cricket","713","750","769","765","730","1000",
"OZ","Victoria","F","11","L","161","25","160","1","Walk","3","0.48","39","Dancing","1000","1000","1000","1000","","",
"OZ","Western OZ","M","13","R","166","24","153","2","Car","2","0.35","30","Other activities/sports","373","350","403","498","639","675",
"NZ","Auckland","M","11","R","154","22","150","1","Car","45","0.401","0","Football/Soccer","500","","500","","","",
"CA","Ontario","M","14","R","169","25","170","1","Walk","6","0.328","41","Running/Jogging","658","1000","348","770","481","102",
"OZ","Victoria","F","12","R","160","23","157","1","Rail","20","0.42","48","Netball","1000","1000","1000","320","308","580",
"USA","WI","M","14","B","171","12","180","1","Bus","30","0","45","Basketball","8","8","8","9","8","1000",
"CA","Ontario","M","14","L","165","24","161","1","Bus","30","0.768","63","Tennis","1000","1000","1000","1000","1000","1000",
"OZ","New South Wales","M","10","R","147","21","145","1","Walk","2","0.5","38","Other activities/sports","994","894","917","834","202","131",
"UK","North West","M","15","R","172","26","178","1","Car","5","0.29","44","Rugby Union","770","765","679","659","957","926",
"NZ","Waikato","M","12","R","155","25","145","1","Car","45","0.359","0","Rugby Union","750","","750","","","",
"CA","Alberta","M","11","R","150","20","151","1","Walk","7","0.71","40","Baseball/Softball","417","513","599","620","353","572",
"CA","Ontario","F","12","R","163","24","138","2","Bus","2","0.912","39","Other activities/sports","1000","508","503","706","214","219",
"OZ","Tasmania","F","14","R","158","20","160","1","Bus","15","0.32","42","Gymnastics","1000","498","545","539","488","486",
"USA","NY","M","10","R","139","23","137","1","Bus","16","0.75","0","Hockey (Ice)","144","947","460","","","",
"USA","IN","M","11","R","135","20","140","1","Car","7","0.364","40","Football (American)","722","503","513","626","396","540",
"UK","North East","M","12","R","141","22","129","1","Bus","40","0","31","Rugby Union","840","770","892","1000","235","1000",
"NZ","West Coast","M","14","B","168","24","172","2","Bus","5","0.361","0","Cricket","1000","","1000","","","",
"CA","Alberta","F","13","R","153","23","125","1","Bus","36","0.451","42","Dancing","417","503","332","481","1000","1000",
"UK","West Midlands","F","13","R","170","25","124","1","Car","10","1.34","80","Running/Jogging","500","500","500","500","500","500",
"CA","Ontario","M","14","B","180","28","187","2","Walk","30","0.621","59","Gymnastics","551","1000","492","390","1000","166",
"OZ","Tasmania","M","14","R","147","24","148","1","Car","10","0.37","32","Football/Soccer","1000","1000","1000","693","832","1000",
"CA","Ontario","M","11","R","146","22","144","2","Bus","17","0.36","46","Hockey (Ice)","1000","941","1000","1000","385","187",
"CA","Saskatchewan","M","11","R","145","23","140","1","Cycle","15","0.422","48","Football/Soccer","626","540","631","963","604","743",
"UK","North West","M","13","R","160","25","160","1","Car","5","0.7","59","Rugby League","0","0","0","0","1000","1000",
"OZ","Queensland","M","14","R","181","26","183","1","Car","10","0.29","38","Rugby League","409","226","220","101","326","314",
"UK","North East","F","13","L","167","24","152","2","Walk","25","0.35","60","Basketball","570","799","934","520","326","543",
"USA","SC","F","15","R","183","27","181","2","Bus","10","0.344","37","Dancing","1000","800","1000","1000","500","1000",
"OZ","South OZ","F","14","R","167","26","163","2","Walk","10","0.73","24","Basketball","498","397","622","580","563","657",
"NZ","Manawatu-Wanganui","F","14","R","168","23","165","1","Bus","45","0.346","0","Netball","750","","750","","","",
"OZ","Victoria","F","10","R","146","21","145","1","Cycle","15","0.41","66","Netball","149","1000","1000","1000","101","119",
"OZ","Victoria","F","12","R","152","22","147","2","Car","10","0.44","59","Other activities/sports","722","1000","1000","693","350","834",
"OZ","New South Wales","F","12","R","167","30","120","2","Car","3","0.37","42","Netball","539","149","982","273","1000","681",
"USA","FL","M","17","L","163","23","171","2","Walk","10","0.561","82","Swimming","900","800","740","750","1000","1000",
"NZ","Auckland","F","12","R","155","24","146","1","Car","5","0.379","0","Hockey (Field)","1000","","750","","","",
"OZ","New South Wales","M","12","R","157","23","155","1","Bus","45","0.36","38","Rugby Union","515","403","657","498","1000","758",
"CA","Ontario","F","18","R","158","25","156","2","Bus","25","0.418","34","Athletics","465","460","476","492","652","840",
"OZ","Queensland","M","14","R","162","24","167","1","Bus","60","0.26","31","Rugby League","1000","1000","1000","1000","1000","1000",
"OZ","New South Wales","M","13","R","153","23","153","1","Car","10","0.4","35","Bowling","486","498","338","137","273","580",
"CA","Ontario","M","14","R","152","24","150","1","Walk","20","0.246","41","Cycling","471","471","583","187","1000","1000",
"OZ","New South Wales","F","10","L","142","21","136","1","Car","3","0","73","Dancing","468","1000","1000","1000","","",
"CA","Alberta","M","11","R","137","26","125","2","Car","15","0.344","36","Other activities/sports","1000","898","925","936","529","455",
"USA","MA","F","12","R","160","22","160","1","Bus","22","0.272","43","Football/Soccer","500","450","600","600","500","500",
"USA","NY","F","16","R","159","24","159","1","Bus","25","0.338","33","Running/Jogging","824","722","500","","","",
"OZ","New South Wales","F","13","R","159","23","163","2","Walk","5","0.31","51","Gymnastics","959","953","965","953","1","",
"USA","MD","F","17","R","169","24","169","1","Car","25","0.241","42","Basketball","100","100","100","100","700","800",
"UK","Home Counties","M","17","R","188","26","182","1","Walk","3","0.37","46","Martial Arts","796","599","682","689","523","500",
"NZ","Auckland","M","14","R","161","25","166","2","Walk","5","0.469","0","Football/Soccer","750","","500","","","",
"NZ","Waikato","F","16","R","165","26","166","1","Car","15","0.412","0","Football/Soccer","750","","750","","","",
"USA","CA","F","17","L","165","24","165","2","Car","10","0","44","Walking/Hiking","800","800","800","800","500","1000",
"OZ","South OZ","F","15","R","164","22","155","2","Bus","15","0","62","Hockey (Ice)","1000","1000","1000","1000","1000","1000",
"USA","VA","F","17","R","173","23","165","1","Car","15","0.353","29","Other","500","450","450","600","500","600",
"UK","South","F","12","R","163","21","160","1","Walk","10","1.54","66","Dancing","654","803","287","272","500","21",
"USA","AZ","F","16","R","147","22","150","1","Car","7","0.297","40","Other","600","500","200","","1000","1000",
"OZ","New South Wales","M","12","L","155","27","165","4","Bus","15","0.39","55","Football/Soccer","521","610","616","367","326","403",
"USA","NE","F","15","R","169","25","174","1","Car","10","0.424","42","Dancing","182","246","230","190","722","1000",
"USA","CA","M","17","R","170","20","208","2","Car","15","0.296","55","Martial Arts","800","800","800","800","900","1000",
"NZ","Wellington","F","12","R","145","22","150","1","Car","5","0.391","0","Hockey (Field)","750","","750","","","",
"OZ","Western OZ","M","10","R","144","22","150","3","Car","3","0.43","49","Walking/Hiking","1000","1000","681","1000","","54",
"USA","TX","F","9","R","137","22","141","2","Walk","5","0.935","67","Football/Soccer","893","765","968","1000","508","973",
"USA","TX","M","11","R","148","23","150","2","Car","3","0.5","54","Football/Soccer","1000","1000","1000","1000","1","999",
"CA","Ontario","M","12","R","153","25","153","3","Bus","10","0.759","46","Golf","583","540","604","695","1000","1000",
"UK","South","M","14","L","180","28","172","2","Car","10","0.29","42","Swimming","1000","1000","1000","1000","0","0",
"OZ","New South Wales","M","15","R","180","10","175","1","Rail","50","0","65","Rugby Union","1000","1000","1000","1000","332","332",
"USA","CA","M","12","R","145","23","138","1","Car","15","0.406","53","Football (American)","1000","1000","1000","1000","1000","1000",
"CA","Ontario","M","12","R","162","26","154","1","Car","6","0.859","39","Hockey (Ice)","246","176","70","433","91","209",
"OZ","Western OZ","M","11","R","159","24","156","1","Car","10","0.51","71","Skateboarding/Rollerblading","125","","143","1000","","13",
"NZ","Manawatu-Wanganui","F","10","R","138","19","135","2","Car","15","0.5","0","Dancing","1000","","1000","","","",
"CA","Ontario","M","14","R","164","26","166","4","Bus","10","0.25","23","Basketball","1000","1000","1000","1000","690","690",
"USA","CA","F","12","R","167","26","155","1","Car","12","0.43","40","Football/Soccer","800","900","1000","900","500","100",
"CA","Quebec","F","13","R","162","23","161","2","Bus","20","0.641","35","Football/Soccer","663","503","749","1000","91","1000",
"USA","PA","M","16","R","194","29","193","2","Car","10","0.327","51","Baseball/Softball","449","1000","1000","727","1000","1000",
"OZ","Victoria","F","15","L","160","23","165","1","Car","5","0.4","39","Other activities/sports","722","592","563","628","1000","1000",
"USA","CO","M","17","R","181","27","186","1","Cycle","10","0.488","45","Other","400","290","250","450","0","0",
"NZ","Waikato","F","14","R","172","25","165","1","Bus","45","0.298","0","Basketball","1000","","500","","","",
"CA","Ontario","F","13","R","162","28","151","1","Car","5","0.451","61","Other activities/sports","1000","1000","1000","1000","380","390",
"UK","West Midlands","F","13","R","173","28","140","1","Walk","10","0.32","34","Dancing","709","664","515","564","859","814",
"USA","GU","F","17","R","159","23","160","1","Car","15","0.36","65","Tennis","1000","1000","1000","1000","711","1000",
"UK","North West","F","11","R","145","24","135","2","Walk","1","0.44","35","Netball","454","1000","663","758","407","445",
"USA","IN","F","15","R","162","23","135","2","Car","5","0.9","45","Other","80","80","90","80","90","90",
"CA","New Brunswick","F","15","R","170","23","171","1","Bus","35","0.651","43","Basketball","32","32","70","64","1000","1000",
"USA","VT","F","16","R","157","26","165","1","Car","5","0.887","53","Other","500","900","600","400","500","500",
"CA","Ontario","M","13","L","168","28","168","3","Walk","5","0.688","50","Basketball","626","620","134","428","1000","1000",
"NZ","Auckland","F","13","R","150","23","155","2","Car","5","0.469","0","Tennis","750","","750","","","",
"NZ","Auckland","F","11","R","169","24","160","1","Bus","45","0.391","0","Dancing","1000","","1000","","","",
"UK","North West","M","14","R","172","25","135","2","Car","3","0.31","55","Cricket","767","926","1000","1000","1000","1000",
"CA","Nova Scotia","F","8","R","149","22","151","5","Bus","15","0.743","54","Dancing","909","1000","1000","1000","305","626",
"OZ","New South Wales","M","10","L","150","24","147","2","Walk","15","0.32","41","Cricket","728","699","515","622","379","391",
"NZ","Wellington","M","13","R","162","24","166","1","Bus","45","0","0","Golf","750","","500","","","",
"OZ","Tasmania","M","14","R","165","25","165","1","Car","10","0.34","41","Cricket","367","326","249","403","237","427",
"UK","Home Counties","M","14","R","182","26","174","3","Bus","15","1.71","25","Other activities/sports","270","445","409","435","1000","1000",
"USA","IL","F","12","R","164","24","158","1","Car","2","0.488","49","Football/Soccer","1000","1000","1000","900","200","300",
"OZ","South OZ","M","16","R","190","26","196","1","Bus","60","0.29","37","Walking/Hiking","1","1","657","237","1000","1000",
"CA","Ontario","M","13","R","160","27","162","2","Bus","10","0.29","36","Football/Soccer","920","610","775","1000","155","241",
"NZ","Manawatu-Wanganui","M","14","R","181","28","198","5","Cycle","45","0.343","0","Rugby Union","1000","","750","","","",
"CA","Ontario","F","14","R","159","22","163","1","Car","10","0.406","44","Athletics","877","668","802","920","791","856",
"OZ","Victoria","M","12","R","154","24","154","1","Bus","30","0.29","42","Football/Soccer","226","634","1000","113","1000","214",
