Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"CA","Saskatchewan","M","17","B","163","24","164","1","Car","15","0.437","38","None","21","123","118","829","503","829",
"UK","North West","F","11","R","156","23","155","1","Walk","15","0.67","46","Other activities/sports","937","970","606","731","528","481",
"OZ","Victoria","F","11","R","155","23","159","1","Car","10","1.48","39","Basketball","438","681","1000","291","817","1000",
"OZ","Western OZ","F","14","B","162","22","168","1","Walk","5","0.38","58","Hockey (Field)","273","167","149","161","959","162",
"OZ","Western OZ","F","15","R","168","24","172","1","Walk","7","0.59","52","Hockey (Field)","793","634","604","509","545","545",
"USA","CA","F","16","R","158","25","158","1","Car","2","0.355","37","Tennis","898","898","791","856","775","818",
"CA","Alberta","F","11","R","145","22","143","2","Walk","13","0.428","43","Swimming","979","973","32","968","21","27",
"OZ","Victoria","F","12","R","148","23","153","1","Car","10","0.37","25","Swimming","870","888","1000","888","438","982",
"CA","Alberta","M","11","R","152","25","150","2","Bus","25","0.359","46","Football/Soccer","813","872","1000","1000","882","1000",
"CA","Ontario","F","14","R","151","22","151","4","Walk","10","0.351","34","Dancing","1000","1000","1000","1000","59","64",
"USA","FL","F","12","R","168","10","165","2","Car","15","0.643","32","Football/Soccer","1000","600","500","600","400","900",
"UK","West Midlands","M","12","R","168","27","175","1","Car","6","0.34","37","Football/Soccer","980","785","500","500","0","22",
"CA","Ontario","F","14","R","162","22","152","2","Walk","3","0.442","37","Dancing","1000","1000","930","1000","1000","1000",
"NZ","Canterbury","M","11","R","122","23","122","1","Car","5","0.501","0","Football/Soccer","1000","","1000","","","",
"OZ","New South Wales","F","12","R","159","26","152","2","Car","10","0.34","35","Swimming","1000","1000","1000","1000","367","480",
"OZ","Queensland","M","14","L","163","25","162","1","Car","30","0","46","Skateboarding/Rollerblading","557","509","604","521","202","208",
"USA","TX","F","10","R","142","24","134","2","Bus","60","0","38","Swimming","0","0","0","0","0","0",
